City,County,Population,Description,NearbyCities,MainTreeType,Landmark,FocusService
Milltown,Gulf,,"Milltown tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine air-spade root collar excavation with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Oak Grove, Port Saint Joe, Wewahitchka","Slash Pines, Live Oaks, Longleaf Pines",CONSTITUTION CONVENTION MUSEUM STATE PARK,Stump Grinding
Oak Grove,Gulf,,"Oak Grove tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine sonic tomography screening for decay pockets with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Port Saint Joe, Wewahitchka, Overstreet","Bald Cypress, Longleaf Pines, Mangroves",CONSTITUTION CONVENTION MUSEUM STATE PARK,Hazardous Tree Removal
Port Saint Joe,Gulf,,"Port Saint Joe tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine resistograph verification on suspect stems with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Wewahitchka, Overstreet, Port St. Joe","Bald Cypress, Slash Pines, Southern Magnolias",CONSTITUTION CONVENTION MUSEUM STATE PARK,Canopy Reduction
Wewahitchka,Gulf,,"Wewahitchka tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine sonic tomography screening for decay pockets with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Overstreet, Port St. Joe, Beacon Hill","Red Maples, Bald Cypress, Cabbage Palms",CONSTITUTION CONVENTION MUSEUM STATE PARK,Emergency Storm Cleanup
Bakers Mill,Hamilton,,"Bakers Mill tree operations near GIBSON COUNTY PARK in Hamilton County combine ganoderma butt rot symptom checks on palms with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cypress Creek, Jennings, Kennedy Still","Longleaf Pines, Bald Cypress, Southern Magnolias",GIBSON COUNTY PARK,Palm Risk Assessment
Cypress Creek,Hamilton,,"Cypress Creek tree operations near GIBSON COUNTY PARK in Hamilton County combine target clearance to utility line standards with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Jennings, Kennedy Still, White Springs","Bald Cypress, Southern Magnolias, Red Maples",GIBSON COUNTY PARK,Tree Health Diagnostics
Jennings,Hamilton,,"Jennings tree operations near GIBSON COUNTY PARK in Hamilton County combine ISA BMP reduction cuts with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Kennedy Still, White Springs, Adams","Longleaf Pines, Slash Pines, Live Oaks",GIBSON COUNTY PARK,Structural Pruning
Kennedy Still,Hamilton,,"Kennedy Still tree operations near GIBSON COUNTY PARK in Hamilton County combine air-spade root collar excavation with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","White Springs, Adams, Bellville","Southern Magnolias, Red Maples, Slash Pines",GIBSON COUNTY PARK,Root Barrier Installation
White Springs,Hamilton,,"White Springs tree operations near GIBSON COUNTY PARK in Hamilton County combine resistograph verification on suspect stems with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Adams, Bellville, Belmont","Southern Magnolias, Longleaf Pines, Slash Pines",GIBSON COUNTY PARK,Stump Grinding
Adams,Hamilton,,"Adams tree operations near GIBSON COUNTY PARK in Hamilton County combine compaction relief with vertical mulching with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bellville, Belmont, Blacks Still","Slash Pines, Live Oaks, Longleaf Pines",GIBSON COUNTY PARK,Hazardous Tree Removal
Bellville,Hamilton,,"Bellville tree operations near GIBSON COUNTY PARK in Hamilton County combine dynamic cabling & bracing systems with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Belmont, Blacks Still, Blue Springs","Live Oaks, Bald Cypress, Slash Pines",GIBSON COUNTY PARK,Canopy Reduction
Belmont,Hamilton,,"Belmont tree operations near GIBSON COUNTY PARK in Hamilton County combine dynamic cabling & bracing systems with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Blacks Still, Blue Springs, Jasper","Red Maples, Slash Pines, Live Oaks",GIBSON COUNTY PARK,Emergency Storm Cleanup
Blacks Still,Hamilton,,"Blacks Still tree operations near GIBSON COUNTY PARK in Hamilton County combine ganoderma butt rot symptom checks on palms with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Blue Springs, Jasper, Bakers Mill","Southern Magnolias, Longleaf Pines, Slash Pines",GIBSON COUNTY PARK,Palm Risk Assessment
Bowling Green,Hardee,,"Bowling Green tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine sonic tomography screening for decay pockets with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fort Green Springs, Limestone, Oak Grove","Royal Palms, Sabal Palms, Black Mangroves",PAYNES CREEK HISTORIC STATE PARK,Tree Health Diagnostics
Fort Green Springs,Hardee,,"Fort Green Springs tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine CODIT-informed pruning decisions with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Limestone, Oak Grove, Ona","Royal Palms, Gumbo Limbo, Sea Grapes",PAYNES CREEK HISTORIC STATE PARK,Structural Pruning
Limestone,Hardee,,"Limestone tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine ISA BMP reduction cuts with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Oak Grove, Ona, Zolfo Springs","Gumbo Limbo, Black Mangroves, Sea Grapes",PAYNES CREEK HISTORIC STATE PARK,Root Barrier Installation
Oak Grove,Hardee,,"Oak Grove tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine target clearance to utility line standards with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Ona, Zolfo Springs, Buchanan","Black Mangroves, Royal Palms, Sabal Palms",PAYNES CREEK HISTORIC STATE PARK,Stump Grinding
Ona,Hardee,,"Ona tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine ISA TRAQ-style risk matrix scoring with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Zolfo Springs, Buchanan, Crewsville","Black Mangroves, Live Oaks, Sea Grapes",PAYNES CREEK HISTORIC STATE PARK,Hazardous Tree Removal
Zolfo Springs,Hardee,,"Zolfo Springs tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine ANSI A300 pruning specs with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Buchanan, Crewsville, Fort Green","Black Mangroves, Sea Grapes, Live Oaks",PAYNES CREEK HISTORIC STATE PARK,Canopy Reduction
Buchanan,Hardee,,"Buchanan tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine resistograph verification on suspect stems with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Crewsville, Fort Green, Gardner","Sabal Palms, Gumbo Limbo, Sea Grapes",PAYNES CREEK HISTORIC STATE PARK,Emergency Storm Cleanup
Crewsville,Hardee,,"Crewsville tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine ISA TRAQ-style risk matrix scoring with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fort Green, Gardner, Wauchula","Live Oaks, Sabal Palms, Black Mangroves",PAYNES CREEK HISTORIC STATE PARK,Palm Risk Assessment
Fort Green,Hardee,,"Fort Green tree operations near PAYNES CREEK HISTORIC STATE PARK in Hardee County combine ISA BMP reduction cuts with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Gardner, Wauchula, Bowling Green","Sabal Palms, Live Oaks, Gumbo Limbo",PAYNES CREEK HISTORIC STATE PARK,Tree Health Diagnostics
Harlem,Hendry,,"Harlem tree operations near SUGARLAND PARK in Hendry County combine air-spade root collar excavation with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hooker Point, LaBelle, Felda","Sabal Palms, Royal Palms, Gumbo Limbo",SUGARLAND PARK,Structural Pruning
Hooker Point,Hendry,,"Hooker Point tree operations near SUGARLAND PARK in Hendry County combine target clearance to utility line standards with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","LaBelle, Felda, Keri","Sea Grapes, Black Mangroves, Sabal Palms",SUGARLAND PARK,Root Barrier Installation
LaBelle,Hendry,,"LaBelle tree operations near SUGARLAND PARK in Hendry County combine ISA BMP reduction cuts with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Felda, Keri, Sears","Royal Palms, Sea Grapes, Gumbo Limbo",SUGARLAND PARK,Stump Grinding
Felda,Hendry,,"Felda tree operations near SUGARLAND PARK in Hendry County combine sonic tomography screening for decay pockets with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Keri, Sears, South Clewiston","Gumbo Limbo, Sea Grapes, Sabal Palms",SUGARLAND PARK,Hazardous Tree Removal
Keri,Hendry,,"Keri tree operations near SUGARLAND PARK in Hendry County combine ANSI A300 pruning specs with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Sears, South Clewiston, Sugar Junction","Royal Palms, Black Mangroves, Live Oaks",SUGARLAND PARK,Canopy Reduction
Sears,Hendry,,"Sears tree operations near SUGARLAND PARK in Hendry County combine dynamic cabling & bracing systems with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","South Clewiston, Sugar Junction, Sugarton","Gumbo Limbo, Black Mangroves, Live Oaks",SUGARLAND PARK,Emergency Storm Cleanup
South Clewiston,Hendry,,"South Clewiston tree operations near SUGARLAND PARK in Hendry County combine compaction relief with vertical mulching with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Sugar Junction, Sugarton, Denaud","Sabal Palms, Black Mangroves, Royal Palms",SUGARLAND PARK,Palm Risk Assessment
Sugar Junction,Hendry,,"Sugar Junction tree operations near SUGARLAND PARK in Hendry County combine ANSI A300 pruning specs with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Sugarton, Denaud, Clewiston","Gumbo Limbo, Black Mangroves, Sea Grapes",SUGARLAND PARK,Tree Health Diagnostics
Sugarton,Hendry,,"Sugarton tree operations near SUGARLAND PARK in Hendry County combine ISA BMP reduction cuts with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Denaud, Clewiston, Harlem","Gumbo Limbo, Black Mangroves, Royal Palms",SUGARLAND PARK,Structural Pruning
Berkeley,Hernando,,"Berkeley tree operations near HERNANDO BEACH in Hernando County combine air-spade root collar excavation with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Brooksville, Camps, Dixie","Live Oaks, Longleaf Pines, Bald Cypress",HERNANDO BEACH,Root Barrier Installation
Brooksville,Hernando,,"Brooksville tree operations near HERNANDO BEACH in Hernando County combine ganoderma butt rot symptom checks on palms with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Camps, Dixie, Garden Grove","Longleaf Pines, Mangroves, Southern Magnolias",HERNANDO BEACH,Stump Grinding
